BBRef_Game_ID,DateTime,Date,Start,HomeTm,HomePTS,VisitTm,VisitPTS
201010260BOS,2010-10-26T19:30:00Z,2010-10-26,7:30pm,BOS,88,MIA,80
201010260POR,2010-10-26T22:00:00Z,2010-10-26,10:00pm,POR,106,PHO,92
201010260LAL,2010-10-26T22:30:00Z,2010-10-26,10:30pm,LAL,112,HOU,110
201010270CLE,2010-10-27T19:00:00Z,2010-10-27,7:00pm,CLE,95,BOS,87
201010270TOR,2010-10-27T19:00:00Z,2010-10-27,7:00pm,TOR,93,NYK,98
201010270PHI,2010-10-27T19:00:00Z,2010-10-27,7:00pm,PHI,87,MIA,97
201010270NJN,2010-10-27T19:00:00Z,2010-10-27,7:00pm,NJN,101,DET,98
201010270OKC,2010-10-27T20:00:00Z,2010-10-27,8:00pm,OKC,106,CHI,95
201010270NOH,2010-10-27T20:00:00Z,2010-10-27,8:00pm,NOH,95,MIL,91
201010270MIN,2010-10-27T20:00:00Z,2010-10-27,8:00pm,MIN,116,SAC,117
201010270MEM,2010-10-27T20:00:00Z,2010-10-27,8:00pm,MEM,104,ATL,119
201010270SAS,2010-10-27T20:30:00Z,2010-10-27,8:30pm,SAS,122,IND,109
201010270DAL,2010-10-27T20:30:00Z,2010-10-27,8:30pm,DAL,101,CHA,86
201010270DEN,2010-10-27T21:00:00Z,2010-10-27,9:00pm,DEN,110,UTA,88
201010270LAC,2010-10-27T22:30:00Z,2010-10-27,10:30pm,LAC,88,POR,98
201010270GSW,2010-10-27T22:30:00Z,2010-10-27,10:30pm,GSW,132,HOU,128
201010280ORL,2010-10-28T20:00:00Z,2010-10-28,8:00pm,ORL,112,WAS,83
201010280UTA,2010-10-28T22:30:00Z,2010-10-28,10:30pm,UTA,94,PHO,110
201010290CHA,2010-10-29T19:00:00Z,2010-10-29,7:00pm,CHA,101,IND,104
201010290TOR,2010-10-29T19:00:00Z,2010-10-29,7:00pm,TOR,101,CLE,81
201010290PHI,2010-10-29T19:00:00Z,2010-10-29,7:00pm,PHI,101,ATL,104
201010290NJN,2010-10-29T19:00:00Z,2010-10-29,7:00pm,NJN,106,SAC,100
201010290BOS,2010-10-29T19:30:00Z,2010-10-29,7:30pm,BOS,105,NYK,101
201010290DET,2010-10-29T20:00:00Z,2010-10-29,8:00pm,DET,104,OKC,105
201010290NOH,2010-10-29T20:00:00Z,2010-10-29,8:00pm,NOH,101,DEN,95
201010290MIA,2010-10-29T20:00:00Z,2010-10-29,8:00pm,MIA,96,ORL,70
201010290MIN,2010-10-29T20:00:00Z,2010-10-29,8:00pm,MIN,96,MIL,85
201010290DAL,2010-10-29T20:30:00Z,2010-10-29,8:30pm,DAL,90,MEM,91
201010290GSW,2010-10-29T22:30:00Z,2010-10-29,10:30pm,GSW,109,LAC,91
201010290PHO,2010-10-29T22:30:00Z,2010-10-29,10:30pm,PHO,106,LAL,114
201010300ATL,2010-10-30T19:00:00Z,2010-10-30,7:00pm,ATL,99,WAS,95
201010300NYK,2010-10-30T19:30:00Z,2010-10-30,7:30pm,NYK,95,POR,100
201010300CLE,2010-10-30T19:30:00Z,2010-10-30,7:30pm,CLE,104,SAC,107
201010300IND,2010-10-30T20:00:00Z,2010-10-30,8:00pm,IND,99,PHI,86
201010300MEM,2010-10-30T20:00:00Z,2010-10-30,8:00pm,MEM,109,MIN,89
201010300CHI,2010-10-30T20:00:00Z,2010-10-30,8:00pm,CHI,101,DET,91
201010300HOU,2010-10-30T20:30:00Z,2010-10-30,8:30pm,HOU,94,DEN,107
201010300MIL,2010-10-30T20:30:00Z,2010-10-30,8:30pm,MIL,98,CHA,88
201010300SAS,2010-10-30T20:30:00Z,2010-10-30,8:30pm,SAS,90,NOH,99
201010310NJN,2010-10-31T13:00:00Z,2010-10-31,1:00pm,NJN,78,MIA,101
201010310LAC,2010-10-31T15:30:00Z,2010-10-31,3:30pm,LAC,83,DAL,99
201010310OKC,2010-10-31T19:00:00Z,2010-10-31,7:00pm,OKC,99,UTA,120
201010310LAL,2010-10-31T21:30:00Z,2010-10-31,9:30pm,LAL,107,GSW,83
201011010CHI,2010-11-01T20:00:00Z,2010-11-01,8:00pm,CHI,110,POR,98
201011010SAC,2010-11-01T22:00:00Z,2010-11-01,10:00pm,SAC,111,TOR,108
201011010LAC,2010-11-01T22:30:00Z,2010-11-01,10:30pm,LAC,88,SAS,97
201011020CLE,2010-11-02T19:00:00Z,2010-11-02,7:00pm,CLE,88,ATL,100
201011020WAS,2010-11-02T19:00:00Z,2010-11-02,7:00pm,WAS,116,PHI,115
