BBRef_Player_ID,Player,Twitter
o/obertfa01,Fabricio Oberto,obricio7
w/whitero03,Royce White,Highway_30
f/feliccr01,Cristiano Felício,IamFelicio
c/cornepe01,Petr Cornelie,Petr_Cornelie
k/kurucro01,Rodions Kurucs,RODIONS1
s/saundwe01,Wesley Saunders,shyxxm
v/vandeja01,Jarred Vanderbilt,JVando
w/whiteha01,Hassan Whiteside,youngwhiteside
u/upsharo01,Robert Upshaw,UPSHAW50
p/paigema01,Marcus Paige,marcuspaige5
b/brownbr01,Bruce Brown,BruceBrown11
b/biyombi01,Bismack Biyombo,bismackbiyombo
a/alexacl01,Cliff Alexander,CAlexander
h/higgico01,Cory Higgins,chiggins11
n/naderab01,Abdel Nader,AbdelNader2
d/diallha01,Hamidou Diallo,hamidoudiallo
e/ejimme01,Melvin Ejim,MelvinEjim
m/meltode01,De'Anthony Melton,DeAnthonyMelton
b/blatcan01,Andray Blatche,drayblatche
p/pettete01,Terran Petteway,_TP5
w/wallaty01,Tyrone Wallace,TyWallace661
m/mykhasv01,Sviatoslav Mykhailiuk,Sviat_10
m/mccontj01,T.J. McConnell,TJMcConnell
p/plumlma02,Marshall Plumlee,marshallplumlee
b/bateske01,Keita Bates-Diop,KBD_33
w/wilbesc01,Scottie Wilbekin,scottiew_5
m/metuch01,Chimezie Metu,Chimezie_Metu
w/willijo03,Jordan Williams,Jwilliams20
j/johnsal02,Alize Johnson,AlizeJohnson
h/hobsoda01,Darington Hobson,ParkaySmooth
w/willilo02,Lou Williams,TeamLou23
h/harriaa01,Aaron Harrison,AaronICE2
c/carrto01,Tony Carr,Tone10Carr
p/pachuza01,Zaza Pachulia,zaza27
w/woodch01,Christian Wood,Chriswood_5
k/kuzmimi01,Mindaugas Kuzminskas,MKuzminskas
e/edwarvi01,Vince Edwards,VE_12
p/pargoje01,Jeremy Pargo,ImJustPargo
m/marjabo01,Boban Marjanović,BobanMarjanovic
j/jankost01,Stefan Janković,StefanJ33
s/simmojo02,Jonathon Simmons,ThaRealJsimms
f/finnedo01,Dorian Finney-Smith,doefinney_10
m/miltosh01,Shake Milton,SniperShake
h/honeyty01,Tyler Honeycutt,thoneycutt23
w/whiteok01,Okaro White,owhite10
k/kulboar01,Arnoldas Kulboka,kulboka98
b/brackcr01,Craig Brackins,Cbrackins_33
t/toupaax01,Axel Toupane,toups_33
h/houseda01,Danuel House,DanuelHouseJr
s/spaldra01,Ray Spalding,RaySpalding_4
w/willite01,Terrence Williams,TheRealTWill
s/scottsh02,Shannon Scott,3SScott
